age,bodyssa,bodysss,clinssa,clinsss,disssa,dissss,gndssa,gndsss,headssa,headsss,height,kd,legssa,legsss,pas,reach,rev,ssa,sss,sub,tda,tds,tsa,tss,winner
-7.202739726,-1,-2,-9,-8,-5,-6,33,22,22,12,-3,0,-2,-2,11,-5,11,19,8,2,7,6,264,219,1
-3.260273973,-2,-1,-1,0,-4,-3,0,0,-4,-2,1,0,1,0,0,-1,0,-5,-3,1,-1,0,-4,-2,1
-2.424657534,-1,0,0,0,2,3,4,3,5,4,3,1,2,2,0,5,0,6,6,0,0,0,10,9,0
6.024657534,0,-1,0,-2,-36,-18,8,6,-37,-17,-3,1,9,4,0,-3,0,-28,-14,0,0,0,-27,-13,0
-1.649315068,5,-1,0,0,92,26,-9,-4,69,18,1,-1,9,5,-2,1,-2,83,22,0,0,0,78,17,1
4.082191781,3,4,-6,-3,10,48,7,4,3,39,-2,0,5,6,1,0,1,11,49,0,-9,-1,17,54,1
-7.610958904,24,21,2,3,32,18,2,1,30,15,4,1,-18,-14,0,3,0,36,22,0,-4,0,36,22,0
2.298630137,13,1,-1,0,49,27,-2,-1,23,20,0,0,10,5,1,4,1,46,26,0,-3,1,73,54,1
4.369863014,7,6,10,6,13,12,0,0,18,13,2,0,-2,-1,0,4,0,23,18,0,-8,0,29,39,1
1.41369863,1,0,-2,-2,-2,-1,14,11,9,8,1,0,0,0,1,-6,1,10,8,0,-1,1,16,14,1
-0.506849315,-28,-5,4,5,-75,19,0,0,-89,-10,-1,0,46,39,0,5,0,-71,24,0,3,0,-74,23,1
-1.326027397,2,2,1,0,32,20,0,0,31,17,1,0,0,1,0,1,0,33,20,0,0,0,33,20,0
9.709589041,5,5,10,9,-15,6,44,20,41,36,2,0,-7,-6,0,0,0,39,35,4,-7,-3,80,80,0
-0.931506849,1,1,5,2,29,16,0,0,33,17,-1,0,0,0,0,4,0,34,18,0,0,0,56,38,1
-8.64109589,-1,-1,-3,-1,15,11,6,6,18,16,0,1,1,1,0,0,0,18,16,0,-1,0,19,17,1
2.621917808,18,14,12,10,10,20,1,1,5,17,3,0,0,0,0,5,0,23,31,0,0,0,24,32,1
-4.97260274,20,12,10,3,0,-1,-2,0,-11,-9,-1,0,-1,-1,-1,-3,-1,8,2,2,0,1,21,12,0
-3.060273973,-11,-8,-11,-11,-12,-28,-14,-11,-20,-37,1,-1,-6,-5,0,0,0,-37,-50,0,-4,-2,-35,-49,1
5.02739726,-7,-4,-2,-2,-9,-6,0,0,4,1,0,0,-8,-5,0,0,0,-11,-8,1,1,1,-16,-13,0
-7.082191781,0,-2,-1,-2,0,0,2,0,0,-1,4,0,1,1,-2,5,-2,1,-2,2,-7,-2,-3,-5,0
-0.57260274,-10,-10,-14,-14,-7,-7,12,4,8,-1,-1,0,-7,-6,4,0,4,-9,-17,0,14,4,-4,-14,1
-7.260273973,-3,-7,-1,-3,65,17,-1,-1,80,34,-2,0,-14,-14,0,-1,0,63,13,0,-2,0,60,13,1
1.997260274,36,25,27,18,61,11,0,0,69,10,5,0,-17,-6,0,5,0,88,29,0,-10,0,85,27,0
-0.794520548,-3,-2,0,0,-14,-4,18,14,10,14,-1,0,-3,-2,3,-1,3,4,10,1,1,1,14,17,1
2.95890411,1,0,0,0,1,-1,1,0,3,1,4,1,-2,-2,0,0,0,2,-1,1,0,0,2,-1,0
